DOEID,MULTSTV,MICRO,TOASTER,COFFEE,NUMFRIG,CWASHER,WASHLOAD,DRYER,NUMCFAN,TVCOLOR,BIGTV,DVD,PLAYSTA,TVONWD,TVONWE,STEREO,NUMPC,LAPTOPPC,PCTYPE1,PCPRINT,AIRCOND,LGT12,NOUTLGTNT,DOLLAREL
119,0,1,0,1,1,1,2,1,1,3,0,2,0,4,4,1,2,2,2,1,1,0,0,803
120,0,1,1,1,1,0,0,0,1,2,0,3,0,3,2,0,1,0,1,1,1,1,0,1797
121,0,1,0,0,1,1,2,1,3,2,0,1,0,2,3,1,2,1,1,1,1,0,0,351
122,0,1,1,1,1,1,2,1,5,1,0,1,0,4,4,0,1,0,1,1,1,1,0,858
123,0,1,1,1,1,1,2,1,0,2,0,1,1,3,3,1,1,0,1,1,1,0,0,514
124,0,1,1,0,2,1,2,0,0,3,0,0,0,3,3,0,0,0,0,0,1,0,0,838
125,0,1,0,1,2,1,2,1,3,3,0,0,0,3,3,0,0,0,0,0,1,0,1,691
126,0,1,1,0,1,0,0,0,0,3,1,1,1,3,4,1,1,1,2,1,0,1,0,476
127,0,1,0,1,1,1,3,0,0,5,0,3,1,3,2,1,1,1,2,0,1,2,0,806
128,0,1,0,0,1,0,0,0,1,2,0,0,0,2,3,0,1,0,1,0,1,0,0,1873
129,0,0,1,1,2,1,3,1,0,4,2,1,1,2,1,1,2,1,1,1,1,0,0,2739
130,0,1,0,0,1,1,2,0,0,2,0,0,0,3,1,1,0,0,0,0,1,0,0,601
131,0,1,1,1,1,1,2,1,1,2,0,1,0,3,2,1,2,1,2,1,1,0,0,233
132,0,0,0,0,1,0,0,0,0,2,1,1,0,2,3,0,1,0,1,1,0,0,0,198
133,0,1,1,1,1,1,2,1,1,3,0,2,0,2,3,1,1,0,1,1,0,0,1,1110
134,0,1,1,0,1,1,3,1,3,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1346
135,0,1,1,1,2,1,4,1,5,6,2,2,1,3,3,1,3,1,1,1,1,0,0,2028
136,0,1,0,1,1,1,4,1,0,5,0,3,0,2,2,1,3,2,1,1,1,0,0,1832
137,0,1,1,1,3,1,4,1,12,6,1,1,0,2,2,1,3,1,1,1,1,0,0,2598
138,0,1,0,1,1,1,2,1,6,3,1,4,0,2,3,1,1,0,1,1,1,0,0,1329
139,1,1,0,1,1,0,0,0,2,2,0,2,1,3,3,1,0,0,0,0,1,0,0,957
140,0,1,1,0,2,1,1,1,3,3,2,0,0,3,2,1,1,1,2,1,1,0,0,1097
141,0,1,1,0,2,1,2,1,1,3,0,0,0,2,2,1,0,0,0,0,1,0,0,2023
142,0,1,0,0,1,0,0,0,0,2,0,1,0,2,3,1,0,0,0,0,0,0,0,435
143,0,1,0,1,1,1,2,1,1,5,0,1,1,4,4,1,0,0,0,0,1,0,0,1062
144,0,1,0,1,1,0,0,0,0,3,1,1,0,3,3,1,2,2,2,1,0,3,0,1070
145,0,1,0,1,1,1,4,1,3,2,0,1,1,2,1,0,3,0,1,1,1,0,1,1181
146,0,1,0,1,2,1,2,1,4,2,0,0,0,3,3,1,1,0,1,1,1,0,0,1034
147,0,1,0,1,1,1,2,1,0,1,0,2,0,2,2,1,0,0,0,0,1,0,0,551
148,0,0,0,1,1,1,2,1,3,2,0,1,1,2,3,1,1,0,1,1,1,1,0,691
149,0,0,0,0,1,0,0,0,0,3,0,1,0,4,4,0,1,0,1,1,0,0,0,306
150,0,0,1,0,1,1,3,1,5,3,0,1,1,2,3,1,1,0,1,1,1,2,2,1883
151,0,1,0,0,1,1,3,0,1,4,0,1,1,3,4,1,0,0,0,0,0,2,0,1150
152,0,0,0,0,1,1,3,1,0,1,0,1,0,3,3,1,0,0,0,0,1,0,0,678
153,0,1,0,1,1,1,2,1,0,2,0,1,1,2,2,1,3,2,2,1,1,5,0,888
154,0,0,1,0,2,1,1,0,0,3,0,0,0,2,2,1,0,0,0,0,1,0,0,656
155,0,1,1,1,1,1,2,1,5,1,0,1,0,2,2,0,1,1,2,1,1,0,0,2100
156,0,1,0,1,2,1,2,1,1,2,0,0,0,2,2,0,1,0,1,1,0,0,1,899
157,0,1,1,1,1,1,2,1,0,1,0,1,0,1,1,0,3,2,1,1,0,0,0,592
158,0,1,1,0,1,1,2,1,1,3,1,1,0,2,2,1,2,1,1,1,1,0,1,902
159,1,1,0,0,1,1,2,1,0,1,0,1,0,2,1,1,0,0,0,0,1,1,0,1490
160,0,1,1,1,1,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,1,2,2,292
161,0,1,0,1,1,1,1,1,2,2,0,0,0,2,2,0,0,0,0,0,1,1,1,1248
162,0,1,1,1,1,0,0,0,0,1,0,1,1,2,2,1,1,0,1,0,1,0,0,1337
163,0,1,0,0,1,0,0,0,0,2,0,0,0,4,4,1,0,0,0,0,1,0,0,320
164,0,0,0,0,1,1,3,1,3,2,0,0,1,2,2,1,1,0,1,1,1,0,0,550
165,0,1,0,1,1,0,0,0,2,3,0,1,1,3,3,0,0,0,0,0,1,0,0,593
166,0,1,1,1,1,1,2,1,2,3,1,2,0,2,2,1,1,1,2,1,1,0,1,2085
167,0,1,0,1,3,1,4,1,3,4,1,2,1,3,2,1,4,2,2,1,1,0,0,2511
168,0,1,0,1,2,1,3,1,3,3,1,3,1,3,2,0,4,1,1,1,1,1,0,2225
169,0,1,0,0,3,1,3,1,1,2,1,1,1,2,3,1,1,0,1,1,1,1,1,973
170,0,1,0,0,1,1,4,1,4,2,0,1,0,4,4,1,1,1,2,0,1,0,0,1646
171,0,1,1,1,1,0,0,0,0,2,0,0,0,3,2,1,0,0,0,0,0,0,1,746
172,1,1,0,1,2,1,3,1,4,2,1,1,0,3,3,1,1,0,1,1,1,0,5,1030
173,0,1,0,0,1,0,0,0,1,5,1,4,1,1,2,1,0,0,0,0,1,0,0,1152
174,0,1,0,0,1,1,3,1,3,3,0,2,0,2,3,1,1,0,1,1,1,0,0,1012
175,1,1,0,1,1,1,2,1,1,1,0,1,0,2,3,1,1,0,1,1,1,0,0,586
176,0,1,1,1,2,1,2,1,8,5,0,1,0,3,3,1,1,0,1,1,1,0,0,2857
177,1,1,0,0,2,1,4,1,0,2,0,1,0,2,1,1,1,0,1,1,1,0,0,742
178,1,1,0,1,1,1,2,1,0,2,0,1,1,2,2,0,1,0,1,0,1,0,0,276
179,0,1,1,1,1,0,0,0,0,1,0,0,0,2,2,1,0,0,0,0,1,1,0,803
180,0,1,0,1,1,1,3,1,3,3,1,2,0,2,3,1,2,1,1,1,1,0,0,563
181,0,1,0,0,1,1,3,1,2,5,0,1,0,3,2,1,3,2,1,1,0,0,0,788
182,0,1,0,0,2,1,2,1,0,3,1,1,0,3,3,0,1,0,1,1,1,0,0,929
183,0,1,0,1,1,0,0,0,0,2,0,2,0,3,3,0,0,0,0,0,1,0,0,274
184,0,1,0,1,1,1,4,1,2,2,0,0,1,3,3,1,1,0,1,1,1,0,0,693
185,0,1,0,0,1,1,3,1,3,2,0,1,0,4,2,1,0,0,0,0,1,0,1,758
